rank,name,channel_Info,Category,Posts,Followers,Avg. Likes,Eng Rate
130,j.m,female,entertainment,31,46.5M,31,26.60%
131,theweeknd,male,entertainment,758,46.5M,758,2.60%
132,5.min.crafts,brand,Craft/DIY,15.5K,46.2M,15.48K,0.10%
133,thenotoriousmma,male,"Health, Sports & Fitness",3.4K,46.2M,3.37K,1.60%
134,natgeotravel,brand,photography,17.2K,46M,17.24K,0.20%
135,maisa,male,entertainment,1.6K,45.8M,1.56K,0.90%
136,nikefootball,brand,"Health, Sports & Fitness",1.8K,45.4M,1.83K,0.40%
137,jannatzubair29,female,entertainment,1.7K,45.2M,1.74K,2.10%
138,varundvn,male,entertainment,2K,44.9M,1.96K,1.80%
139,badbunnypr,male,entertainment,16,44.6M,16,9.70%
140,hrithikroshan,male,entertainment,636,44.6M,636,2.90%
141,gusttavolima,male,entertainment,5K,43.9M,5.02K,0.80%
142,buzzfeedtasty,community,food,10.1K,43.9M,10.12K,0.10%
143,kapilsharma,male,entertainment,1.1K,43.8M,1.06K,1.50%
144,brunamarquezine,female,entertainment,3.1K,43.7M,3.06K,1.40%
145,norafatehi,female,entertainment,1.8K,43.6M,1.81K,2.60%
146,ranveersingh,male,entertainment,1.8K,42.5M,1.80K,1.50%
147,dior,female,Beauty & Makeup,10.1K,42.3M,10.09K,0.10%
148,uarmyhope,,fashion,171,42.2M,171,18.50%
149,georginagio,female,fashion,778,42.2M,778,5.70%
150,cznburak,male,entertainment,1.8K,42.2M,1.83K,2.10%
151,jin,male,,100,42.1M,100,23%
152,laliga,community,"Health, Sports & Fitness",37.7K,41.9M,37.73K,0.10%
153,voguemagazine,brand,fashion,11K,41.8M,10.99K,0.30%
154,britneyspears,female,entertainment,3.2K,41.7M,3.21K,1.20%
155,teddysphotos,male,entertainment,64,41.4M,64,1.20%
156,virginia,female,fashion,2K,41.4M,1.99K,4%
157,saraalikhan95,female,entertainment,889,41.4M,889,2.30%
158,marinaruybarbosa,female,entertainment,2.1K,41.2M,2.12K,0.60%
159,agustd,,,83,41.2M,83,25.30%
160,princessyahrini,female,entertainment,4.6K,41.2M,4.57K,0.10%
161,jenniferaniston,female,entertainment,110,41.1M,110,5.80%
