id,username,category,followers
1,instagram,photography,580.1M
1,instagram,photography,580.1M
2,cristiano,"Health, Sports & Fitness",519.9M
2,cristiano,"Health, Sports & Fitness",519.9M
3,leomessi,"Health, Sports & Fitness",403.7M
3,leomessi,"Health, Sports & Fitness",403.7M
4,kyliejenner,entertainment,375.9M
4,kyliejenner,entertainment,375.9M
5,selenagomez,entertainment,365.3M
5,selenagomez,entertainment,365.3M
